TIME_REF,rent_cpi,region
2010.07,1135,Wellington
2010.08,1132,Wellington
2010.09,1129,Wellington
2010.1,1130,Wellington
2010.11,1139,Wellington
2010.12,1136,Wellington
2011.01,1148,Wellington
2011.02,1178,Wellington
2011.03,1177,Wellington
2011.04,1151,Wellington
2011.05,1162,Wellington
2011.06,1141,Wellington
2011.07,1146,Wellington
2011.08,1149,Wellington
2011.09,1165,Wellington
2011.1,1168,Wellington
2011.11,1166,Wellington
2011.12,1175,Wellington
2012.01,1172,Wellington
2012.02,1214,Wellington
2012.03,1191,Wellington
2012.04,1153,Wellington
2012.05,1154,Wellington
2012.06,1163,Wellington
2012.07,1170,Wellington
2012.08,1149,Wellington
2012.09,1138,Wellington
2012.1,1166,Wellington
2012.11,1173,Wellington
2012.12,1170,Wellington
2013.01,1187,Wellington
2013.02,1213,Wellington
2013.03,1208,Wellington
2013.04,1179,Wellington
2013.05,1192,Wellington
2013.06,1187,Wellington
2013.07,1178,Wellington
2013.08,1180,Wellington
2013.09,1162,Wellington
2013.1,1179,Wellington
2013.11,1188,Wellington
2013.12,1201,Wellington
2014.01,1204,Wellington
2014.02,1226,Wellington
2014.03,1226,Wellington
2014.04,1205,Wellington
2014.05,1227,Wellington
2014.06,1216,Wellington
2014.07,1197,Wellington
2014.08,1219,Wellington
2014.09,1202,Wellington
2014.1,1200,Wellington
2014.11,1229,Wellington
2014.12,1227,Wellington
2015.01,1255,Wellington
2015.02,1261,Wellington
2015.03,1226,Wellington
2015.04,1233,Wellington
2015.05,1220,Wellington
2015.06,1222,Wellington
2015.07,1220,Wellington
2015.08,1225,Wellington
2015.09,1234,Wellington
2015.1,1243,Wellington
2015.11,1275,Wellington
2015.12,1241,Wellington
2016.01,1272,Wellington
2016.02,1302,Wellington
2016.03,1276,Wellington
2016.04,1296,Wellington
2016.05,1262,Wellington
2016.06,1265,Wellington
2016.07,1269,Wellington
2016.08,1296,Wellington
2016.09,1285,Wellington
2016.1,1302,Wellington
2016.11,1318,Wellington
2016.12,1320,Wellington
2017.01,1329,Wellington
2017.02,1366,Wellington
2017.03,1360,Wellington
2017.04,1385,Wellington
2017.05,1381,Wellington
2017.06,1394,Wellington
2017.07,1356,Wellington
2017.08,1387,Wellington
2017.09,1359,Wellington
2017.1,1399,Wellington
2017.11,1400,Wellington
2017.12,1413,Wellington
2018.01,1450,Wellington
2018.02,1467,Wellington
2018.03,1460,Wellington
2018.04,1428,Wellington
2018.05,1433,Wellington
2018.06,1437,Wellington
2018.07,1461,Wellington
2018.08,1446,Wellington
2018.09,1475,Wellington
2018.1,1478,Wellington
2018.11,1506,Wellington
2018.12,1505,Wellington
2019.01,1547,Wellington
2019.02,1575,Wellington
2019.03,1600,Wellington
2019.04,1590,Wellington
2019.05,1540,Wellington
2019.06,1550,Wellington
2019.07,1533,Wellington
2019.08,1545,Wellington
2019.09,1558,Wellington
2019.1,1556,Wellington
2019.11,1595,Wellington
2019.12,1564,Wellington
2020.01,1577,Wellington
2020.02,1611,Wellington
2020.03,1656,Wellington
2020.04,1549,Wellington
2020.05,1548,Wellington
2020.06,1572,Wellington
2020.07,1568,Wellington
2020.08,1540,Wellington
2020.09,1608,Wellington
2020.1,1597,Wellington
2020.11,1646,Wellington
2020.12,1645,Wellington
2006.11,1000,Rest of North Island
2006.12,976,Rest of North Island
2007.01,1003,Rest of North Island
2007.02,1014,Rest of North Island
2007.03,1004,Rest of North Island
2007.04,1035,Rest of North Island
2007.05,1029,Rest of North Island
2007.06,1017,Rest of North Island
2007.07,1036,Rest of North Island
2007.08,1034,Rest of North Island
2007.09,1042,Rest of North Island
2007.1,1050,Rest of North Island
2007.11,1048,Rest of North Island
2007.12,1049,Rest of North Island
2008.01,1062,Rest of North Island
2008.02,1057,Rest of North Island
2008.03,1061,Rest of North Island
2008.04,1070,Rest of North Island
2008.05,1076,Rest of North Island
2008.06,1083,Rest of North Island
2008.07,1070,Rest of North Island
2008.08,1075,Rest of North Island
2008.09,1069,Rest of North Island
2008.1,1071,Rest of North Island
2008.11,1070,Rest of North Island
2008.12,1077,Rest of North Island
2009.01,1078,Rest of North Island
2009.02,1078,Rest of North Island
2009.03,1075,Rest of North Island
2009.04,1089,Rest of North Island
2009.05,1075,Rest of North Island
2009.06,1076,Rest of North Island
2009.07,1068,Rest of North Island
2009.08,1075,Rest of North Island
2009.09,1074,Rest of North Island
2009.1,1079,Rest of North Island
2009.11,1087,Rest of North Island
2009.12,1085,Rest of North Island
2010.01,1085,Rest of North Island
2010.02,1087,Rest of North Island
2010.03,1096,Rest of North Island
2010.04,1099,Rest of North Island
2010.05,1092,Rest of North Island
2010.06,1085,Rest of North Island
2010.07,1097,Rest of North Island
2010.08,1091,Rest of North Island
2010.09,1089,Rest of North Island
2010.1,1092,Rest of North Island
2010.11,1106,Rest of North Island
2010.12,1100,Rest of North Island
2011.01,1099,Rest of North Island
2011.02,1115,Rest of North Island
2011.03,1115,Rest of North Island
2011.04,1118,Rest of North Island
2011.05,1110,Rest of North Island
2011.06,1109,Rest of North Island
2011.07,1105,Rest of North Island
2011.08,1116,Rest of North Island
2011.09,1107,Rest of North Island
2011.1,1117,Rest of North Island
2011.11,1123,Rest of North Island
2011.12,1124,Rest of North Island
2012.01,1109,Rest of North Island
2012.02,1113,Rest of North Island
2012.03,1133,Rest of North Island
2012.04,1127,Rest of North Island
2012.05,1134,Rest of North Island
2012.06,1136,Rest of North Island
2012.07,1136,Rest of North Island
2012.08,1134,Rest of North Island
2012.09,1129,Rest of North Island
2012.1,1141,Rest of North Island
2012.11,1152,Rest of North Island
2012.12,1146,Rest of North Island
2013.01,1147,Rest of North Island
2013.02,1147,Rest of North Island
2013.03,1145,Rest of North Island
2013.04,1157,Rest of North Island
2013.05,1144,Rest of North Island
2013.06,1145,Rest of North Island
2013.07,1151,Rest of North Island
2013.08,1142,Rest of North Island
2013.09,1151,Rest of North Island
2013.1,1150,Rest of North Island
2013.11,1165,Rest of North Island
2013.12,1172,Rest of North Island
2014.01,1162,Rest of North Island
2014.02,1172,Rest of North Island
2014.03,1184,Rest of North Island
2014.04,1157,Rest of North Island
2014.05,1171,Rest of North Island
2014.06,1177,Rest of North Island
2014.07,1176,Rest of North Island
2014.08,1176,Rest of North Island
2014.09,1180,Rest of North Island
2014.1,1196,Rest of North Island
2014.11,1192,Rest of North Island
2014.12,1206,Rest of North Island
2015.01,1201,Rest of North Island
2015.02,1215,Rest of North Island
2015.03,1206,Rest of North Island
2015.04,1203,Rest of North Island
2015.05,1206,Rest of North Island
2015.06,1213,Rest of North Island
2015.07,1217,Rest of North Island
2015.08,1226,Rest of North Island
2015.09,1224,Rest of North Island
2015.1,1235,Rest of North Island
2015.11,1234,Rest of North Island
2015.12,1256,Rest of North Island
2016.01,1251,Rest of North Island
2016.02,1257,Rest of North Island
2016.03,1254,Rest of North Island
2016.04,1275,Rest of North Island
2016.05,1284,Rest of North Island
2016.06,1281,Rest of North Island
2016.07,1290,Rest of North Island
2016.08,1280,Rest of North Island
2016.09,1305,Rest of North Island
2016.1,1313,Rest of North Island
2016.11,1311,Rest of North Island
2016.12,1311,Rest of North Island
2017.01,1307,Rest of North Island
2017.02,1327,Rest of North Island
2017.03,1331,Rest of North Island
2017.04,1332,Rest of North Island
2017.05,1357,Rest of North Island
2017.06,1355,Rest of North Island
2017.07,1358,Rest of North Island
2017.08,1354,Rest of North Island
2017.09,1373,Rest of North Island
2017.1,1370,Rest of North Island
2017.11,1380,Rest of North Island
2017.12,1362,Rest of North Island
2018.01,1373,Rest of North Island
2018.02,1383,Rest of North Island
2018.03,1406,Rest of North Island
2018.04,1428,Rest of North Island
2018.05,1430,Rest of North Island
2018.06,1437,Rest of North Island
2018.07,1440,Rest of North Island
2018.08,1434,Rest of North Island
2018.09,1441,Rest of North Island
2018.1,1469,Rest of North Island
2018.11,1464,Rest of North Island
2018.12,1473,Rest of North Island
2019.01,1473,Rest of North Island
2019.02,1472,Rest of North Island
2019.03,1497,Rest of North Island
2019.04,1503,Rest of North Island
2019.05,1511,Rest of North Island
2019.06,1524,Rest of North Island
2019.07,1540,Rest of North Island
2019.08,1533,Rest of North Island
2019.09,1545,Rest of North Island
2019.1,1549,Rest of North Island
2019.11,1542,Rest of North Island
2019.12,1546,Rest of North Island
2020.01,1562,Rest of North Island
2020.02,1549,Rest of North Island
2020.03,1553,Rest of North Island
2020.04,1605,Rest of North Island
2020.05,1599,Rest of North Island
2020.06,1615,Rest of North Island
2020.07,1631,Rest of North Island
2020.08,1601,Rest of North Island
2020.09,1635,Rest of North Island
2020.1,1639,Rest of North Island
2020.11,1638,Rest of North Island
2020.12,1683,Rest of North Island
2006.11,1000,Canterbury
2006.12,1041,Canterbury
2007.01,1023,Canterbury
2007.02,1040,Canterbury
2007.03,1027,Canterbury
2007.04,1017,Canterbury
2007.05,1019,Canterbury
2007.06,1013,Canterbury
2007.07,1048,Canterbury
2007.08,1044,Canterbury
2007.09,1045,Canterbury
2007.1,1048,Canterbury
2007.11,1062,Canterbury
2007.12,1050,Canterbury
2008.01,1091,Canterbury
2008.02,1076,Canterbury
2008.03,1078,Canterbury
2008.04,1079,Canterbury
2008.05,1087,Canterbury
2008.06,1059,Canterbury
2008.07,1061,Canterbury
2008.08,1058,Canterbury
2008.09,1043,Canterbury
2008.1,1067,Canterbury
2008.11,1060,Canterbury
2008.12,1074,Canterbury
2009.01,1086,Canterbury
2009.02,1081,Canterbury
2009.03,1071,Canterbury
2009.04,1046,Canterbury
2009.05,1047,Canterbury
2009.06,1054,Canterbury
2009.07,1047,Canterbury
2009.08,1051,Canterbury
2009.09,1055,Canterbury
2009.1,1055,Canterbury
2009.11,1056,Canterbury
2009.12,1088,Canterbury
2010.01,1058,Canterbury
2010.02,1100,Canterbury
2010.03,1086,Canterbury
2010.04,1079,Canterbury
2010.05,1082,Canterbury
2010.06,1055,Canterbury
2010.07,1068,Canterbury
2010.08,1070,Canterbury
2010.09,1071,Canterbury
2010.1,1082,Canterbury
2010.11,1075,Canterbury
2010.12,1097,Canterbury
2011.01,1101,Canterbury
2011.02,1120,Canterbury
2011.03,1122,Canterbury
2011.04,1110,Canterbury
2011.05,1106,Canterbury
2011.06,1108,Canterbury
2011.07,1109,Canterbury
2011.08,1096,Canterbury
2011.09,1108,Canterbury
2011.1,1118,Canterbury
2011.11,1130,Canterbury
2011.12,1161,Canterbury
2012.01,1150,Canterbury
2012.02,1186,Canterbury
2012.03,1208,Canterbury
2012.04,1193,Canterbury
2012.05,1212,Canterbury
2012.06,1199,Canterbury
2012.07,1210,Canterbury
2012.08,1221,Canterbury
2012.09,1239,Canterbury
2012.1,1234,Canterbury
2012.11,1253,Canterbury
2012.12,1277,Canterbury
2013.01,1274,Canterbury
2013.02,1307,Canterbury
2013.03,1281,Canterbury
2013.04,1302,Canterbury
2013.05,1342,Canterbury
2013.06,1338,Canterbury
2013.07,1337,Canterbury
2013.08,1343,Canterbury
2013.09,1354,Canterbury
2013.1,1376,Canterbury
2013.11,1376,Canterbury
2013.12,1362,Canterbury
2014.01,1394,Canterbury
2014.02,1404,Canterbury
2014.03,1382,Canterbury
2014.04,1414,Canterbury
2014.05,1409,Canterbury
2014.06,1444,Canterbury
2014.07,1404,Canterbury
2014.08,1401,Canterbury
2014.09,1461,Canterbury
2014.1,1447,Canterbury
2014.11,1438,Canterbury
2014.12,1426,Canterbury
2015.01,1458,Canterbury
2015.02,1467,Canterbury
2015.03,1446,Canterbury
2015.04,1440,Canterbury
